phrasal	meaning	significado	phrase	frase	position
fess up	Give.	Dar.	Fess up your share of the bill.	Dar a sua parte da conta.	2066
fess up to	Confess, admit reluctantly to something.	Confessar, admitir relutantemente com alguma coisa.	They fessed up to the crime.	Eles admitiram o crime.	2067
fiddle about	Waste time doing silly things, or doing things unsuccessfully.	Perder tempo fazendo coisas bobas, ou fazer coisas sem sucesso.	We spent the whole afternoon fiddling about with the computer but couldn't get it to work.	Passamos a tarde inteira mexendo no computador, mas não conseguimos fazê-lo funcionar.	2068
fiddle around	Waste time doing silly things, or unsuccessful things.	Perder tempo fazendo coisas bobas, ou coisas malsucedidas.	I fiddled around with the phone but couldn't get any signal.	Perdi tempo com o telefone, mas não consegui nenhum sinal.	2069
fiddle around	Make small movements with your hands.	Fazer pequenos movimentos com as mãos.	He fiddled around for something in his pockets.	Ele mexeu procurando algo em seus bolsos.	2070
fiddle away	Waste time.	Perder tempo.	He fiddled away the afternoon.	Ele desperdiçou a tarde.	2071
fight back	When you defend yourself/resist an attack, or make an effort against an opponent in a competition.	Quando você se defende / resiste a um ataque ou faz um esforço contra um oponente em uma competição.	The army attacked the town and the inhabitants fought back fiercely.	O exército atacou a cidade e os habitantes resistiram ferozmente.	2072
fight back	Defend yourself, resist an attack.	Defender-se, resistir a um ataque.	The army attacked the town and the inhabitants fought back fiercely.	O exército atacou a cidade e os habitantes resistiram ferozmente.	2073
fight back	Try to control and emotion and keep it hidden.	Tentar controlar e emoção e manté-la oculta.	He tried to fight back the tears when he heard the news of her death.	Ele tentou controlar as lágrimas quando ouviu a notícia da morte dela.	2074
fight back	When you defend yourself/resist an attack, or make an effort against an opponent in a competition.	Quando você se defende / resiste a um ataque ou faz um esforço contra um oponente em uma competição.	The army attacked the town and the inhabitants fought back fiercely.	O exército atacou a cidade e os habitantes resistiram ferozmente.	2075
fight it out	Struggle to see who wins, both by arguing or fighting.	Lutar para ver quem vence, argumentando ou brigando.	Their fighting it out to see who will become the next CEO.	Eles lutaram para ver quem se tornará o próximo CEO.	2076
fight off	Fight an attacker and force them back.	Lutar contra um atacante, invasor, assaltante e forçá-lo a retroceder.	The old lady managed to fight the muggers off and they didn't get her purse.	A velha senhora conseguiu lutar contra os assaltantes e eles não conseguiram sua bolsa.	2077
fight off	Resist an illness or emotion.	Resistir a uma doença ou emoção.	I'm fighting off a cold.	Estou lutando contra um resfriado.	2078
fight off	Resist an illness	Resistir a uma doença			2079
figure on	To expect or plan for something.	Esperar ou planejar algo.	What job do you figure on doing when you graduate?	Que trabalho você planeja fazer quando se formar?	2080
figure on	Plan, expect.	Planejar, esperar.	What job do you figure on doing when you graduate?	Que trabalho você planeja fazer quando se formar?	2081
figure on	To expect or plan for something.	Esperar ou planejar algo.	What job do you figure on doing when you graduate?	Que trabalho você planeja fazer quando se formar?	2082
figure out	to understand or solve something. If you figure out a solution to a problem or the reason for something, you solve it or understand it.	entender ou resolver algo. Se você descobrir uma solução para um problema ou a razão de algo, você resolve ou entende.	He spent five hours figuring out how to operate this machine.	Ele passou cinco horas a descobrir como operar esta máquina.	2083
figure out	to understand or solve something. If you figure out a solution to a problem or the reason for something, you solve it or understand it.	entender ou resolver algo. Se você descobrir uma solução para um problema ou a razão de algo, você resolve ou entende.	I want to figure out how to solve the Rubik's Cube.	Quero descobrir como resolver o Cubo do Rubik.	2084
figure out	to understand or solve something. If you figure out a solution to a problem or the reason for something, you solve it or understand it.	entender ou resolver algo. Se você descobrir uma solução para um problema ou a razão de algo, você resolve ou entende.	I couldn't figure out what the teacher was talking about.	Eu não conseguia entender do que o professor estava falando.	2085
figure out	understand, find the answer	entender, encontrar a resposta	I need to figure out how to fit the piano and the bookshelf in this room.	Preciso descobrir como encaixar o piano e a estante nesta sala.	2086
figure out	To understand or solve something	entender ou resolver alguma coisa	She finally figured out the solution to the puzzle.	Ela finalmente descobriu a solução para o quebra-cabeça.	2087
figure out	Find the answer to a problem.	Encontrar a resposta para um problema.	The police couldn't figure out how the burglars had got into the warehouse.	A polícia não conseguiu descobrir como os ladrões entraram no armazém.	2088
figure out	Think about somebody/something until you understand them/it 	Pensar em alguém/algo até entendê-lo/isso			2089
figure something out	understand, find the answer		I need to figure out how to fit the piano and the bookshelf in this room.	Preciso descobrir como encaixar o piano e a estante nesta sala.	2090
file away	Put a document in the correct place for storage in a filing system.	Colocar um documento no local correto para armazenamento em um sistema de arquivamento.	I filed a copy of the letter away for my records.	Arquivei uma cópia da carta para os meus registros.	2091
file for	Apply for something legally, like divorce or bankruptcy.	Solicitar algo legalmente, como divórcio ou falência.	They filed for divorce after two years of marriage.	Eles solicitaram o divórcio após dois anos de casamento.	2092
fill in	To add personal information in the blank spaces of an official document.	Adicionar informações pessoais nos espaços em branco de um documento oficial.	I filled in the application form and posted it off.	Preenchi o formulário de inscrição e postei.	2093
fill in	Complete a form.	Completar o formulário.	I filled in the application form and posted it off.	Preenchi o formulário de inscrição e postei.	2094
fill in	Substitute someone at work.	Substituir alguém no trabalho.	She's just had a baby, so we have hired someone to fill in for her.	Ela teve um bebê, então contratamos alguém para substituí-la.	2095
fill in	To add personal information in the blank spaces of an official document.	Adicionar informações pessoais nos espaços em branco de um documento oficial.	I filled in the application form and posted it off.	Preenchi o formulário de inscrição e postei.	2096
fill in	Fill; to replace material that is absent or has been removed	Preencher; substituir material que está ausente ou foi removido			2097
fill in	Inform somebody, especially to supply someone missing or missed information	Informar alguém, especialmente para fornecer informações ausentes ou perdidas			2098
fill in	Substitute for somebody or something	Substituir alguém ou alguma coisa			2099
fill in	Beat up; to physically assault	Espancar; agredir fisicamente			2100
fill in for	To do someone else's job temporarily	Fazer o trabalho de outra pessoa temporariamente	Can you fill in for me while I'm on vacation?	Podes preencher-me enquanto estou de férias?	2101
fill in for	Substitute.	Substituto, substituir,	I was away for a few days, so they had to get someone to fill in for me.	Eu estava fora por alguns dias, então eles tinham que conseguir alguém para me substituir.	2102
fill in for	To do somebody's job for a short time while they are not there	Fazer o trabalho de alguém por um curto período de tempo enquanto essa pessoa não está lá			2103
fill in on	Give someone information.	Dar informações a alguém.	I'm sorry I missed the meeting; could you fill me in on what happened.	Me desculpe, perdi a reunião; Você poderia me informar do que aconteceu?	2104
fill out	to write information in blanks, as on a form	escrever informações em espaços em branco, como em um formulário	The form must be filled out in capital letters.	O formulário deve ser preenchido em letras maiúsculas.	2105
fill out	To complete a form by providing required information	preencher um formulário fornecendo as informações necessárias	Please fill out the application form and submit it by Friday.	Preencha o formulário de inscrição e envie-o até sexta-feira.	2106
fill out	To complete a form.	Preencher um formulário.	I filled out the application form and mailed it.	Preenchi o formulário de inscrição e enviei-o.	2107
fill out	Complete a form.	Preencher uma formulário.	I filled out the application form and mailed it.	Preenchi o formulário de inscrição e enviei-o.	2108
